pair dijkstra_dist_mi bfs_switches
1 76.29 7
2 173.65 8
3 28.96 3
4 32.50 4
5 84.17 10
6 90.81 8
7 25.46 8
8 277.42 13
9 157.44 9
10 103.17 7
11 171.14 7
12 202.90 5
13 241.99 10
14 277.50 9
15 15.70 5
16 199.79 10
17 243.84 7
18 143.95 8
19 273.96 6
20 152.47 11
21 261.86 10
22 59.35 6
23 57.31 6
24 105.84 7
25 59.81 6
26 99.99 6
27 70.60 5
28 308.03 11
29 270.61 13
30 37.24 4
31 190.48 10
32 290.80 9
33 126.07 10
34 209.99 8
35 116.24 5
36 75.83 7
37 343.41 10
38 96.17 7
39 11.30 3
40 263.34 10
41 341.32 10
42 296.31 7
43 127.97 8
44 118.84 9
45 61.39 2
46 165.01 11
47 15.52 1
48 203.83 9
49 191.54 11
50 276.73 7
